0,1
air guitar kangaroo wins comedy wildlife photography awards 2023,"the funniest photo contest in the world, the comedy wildlife photography awards, has announced its 2023 winners drumroll, please! the overall winner of this year's competition is jason moore for his amusing, heartwarming, and funny capture of a kangaroo play…"
"cast your vote for aotearoa new zealand's ""bird of the century"" (and listen to dozens of bird songs while you're at it!)","every year, the registered charitable organization royal forest and bird protection society of new zealand inc—aka ""forest & bird""—asks the public to determine aotearoa new zealand's bird of the year well, this year the organization is turning 100 and to ce…"
wildlife photographer of the year peoples choice shortlist announced,wildlife photographer of the year awards <table> <tr> <td></td> </tr> </table> the wildlife photographer of the year awards have released their annual shortlist of 25 nature images for public voting in the people's choice category anyone can help widdle …
vote for your favorite in the wildlife photographer of the year contest,"the natural history museum in london has revealed its wildlife photographer of the year people's choice award shortlist, and voting is now open [read more]"
underwater cameras discover how dolphins pull off a ‘crab bait heist,frustrated fishermen in australia have long been robbed by dolphins -- and now camera technology has shed more light on the situation [read more]
funniest wildlife photos: 15 comedy wildlife photography awards winners,the comedy wildlife awards - the funniest and most popular photography competition in the world - has reached its conclusion for this year and here are the very comic winners
spectacular winning photos of comedy wildlife photography awards 2023,"overall winner: air guitar roo by jason moore a kangaroo playing air guitar won the comedy wildlife photography awards, a fun contest with 5300 entries from 85 countries jason moore took the hilarious photo in perth, australia, where he saw kangaroos and joe…"
björk and rosalía share video for new song “oral”: watch,proceeds from the track will benefit a legal fight against foreign-owned salmon farming operations in iceland
dolphins filmed for the first time raiding crab bait from fishermen,"the time for australian dolphins to enjoy a tasty meal of crab legs may be coming to an end the intelligent creatures have been foiling local fishermen for a while, stealing the bait straight out of the nets before any fish are caught up until now, the dolp…"
video shows 'world's most dangerous bird' emerging from ocean,"a southern cassowary was seen swimming from the ocean to the shore in 'astonishing' video footage taken at bingil bay campground in queensland, australia,"
vote now for the wildlife photographer of the year peoples choice awards,"heres your chance to play juror and vote in the wildlife photographer of the year peoples choice awards 2023, a collection of 25 stunning photographs that shine a light on the beauty and brutality of the natural worldcontinue readingcategory: photography, …"
researcher creates world's first database of animal 'odors' using shingleback lizards,"scientists have used bobtail lizards to create the world's first database of ""odors"" from a living animal"
earth may never again know a plastic-free sea turtle,"even if plastic pollution stopped tomorrow, turtles would be dealing with the repercussions for centuries—at least"
"björk discusses her “lost” song and rosalía collaboration “oral,” a single to save wild salmon",the musician has joined icelands fight against norwegian-owned commercial farming operations that threaten to disrupt native ecosystems
an ancient missing continent was finally rediscovered 155 million years after it vanished,"researchers at utrecht university in the netherlands think they have uncovered the mysterious landmass, hidden under the eastern islands of southeast asia"
why are dead and dying seabirds washing up on australian beaches in hundreds?,"in october and november, horrified beachgoers often find dead and dying muttonbirds washing up in an event called a seabird ""wreck"""
best wildlife photography of the year: 25 photos to vote for your favorite,the prestigious wildlife photographer of the year competition is inviting fans of nature photography to vote for their favorite image to win the people's choice award here are your choices
las fotos de naturaleza más divertidas del año: estos son los ganadores de los 2023 comedy wildlife photo,"a principios de octubre, pusimos cara a los finalistas de los premios comedy wildlife photo 2023, las fotos de la naturaleza más divertidas del año un mes y medio más tarde, ya podemos compartir cuáles son las premiadas en esta edición, donde podrás tronchar…"
sony unveils worlds lightest f/28 telephoto lens for sports and wildlife shooters,the new sony fe 300mm f28 gm oss looks like a real powerhouse of a lens for pro sports and wildlife photographers
study suggests link between feral horses and peatland carbon emissions,"a new study by rmit has found carbon emissions from australian alpine peatlands to be much higher in areas disturbed by feral horses the paper, ""carbon emissions from australian sphagnum peatlands increase with feral horse (equus caballus) presence,"" was pub…"
endangered turtle population under threat as pollution may lead to excess of females being born,"researchers find exposure to heavy metals cadmium and antimony and certain organic contaminants, accumulated by the mother and transferred to her eggs, may cause embryos to be feminized in green sea turtles (chelonia mydas), a species already at risk of extin…"
