COU,Country,POL,Pollutant,VAR,Year,Value
AUS,Australia,GHG,Greenhouse gases,TOTAL,1990,438056.76
AUS,Australia,GHG,Greenhouse gases,TOTAL,1991,438049.29
AUS,Australia,GHG,Greenhouse gases,TOTAL,1992,441752.18
AUS,Australia,GHG,Greenhouse gases,TOTAL,1993,442282.48
AUS,Australia,GHG,Greenhouse gases,TOTAL,1994,442610.56
AUS,Australia,GHG,Greenhouse gases,TOTAL,1995,451076.46
AUS,Australia,GHG,Greenhouse gases,TOTAL,1996,457574.99
AUS,Australia,GHG,Greenhouse gases,TOTAL,1997,469835.69
AUS,Australia,GHG,Greenhouse gases,TOTAL,1998,484037.12
AUS,Australia,GHG,Greenhouse gases,TOTAL,1999,489971.16
AUS,Australia,GHG,Greenhouse gases,TOTAL,2000,501588.99
AUS,Australia,GHG,Greenhouse gases,TOTAL,2001,509456.08
AUS,Australia,GHG,Greenhouse gases,TOTAL,2002,513171.01
AUS,Australia,GHG,Greenhouse gases,TOTAL,2003,511714.21
AUS,Australia,GHG,Greenhouse gases,TOTAL,2004,528827.43
AUS,Australia,GHG,Greenhouse gases,TOTAL,2005,535589.76
AUS,Australia,GHG,Greenhouse gases,TOTAL,2006,540017.78
AUS,Australia,GHG,Greenhouse gases,TOTAL,2007,546739.52
AUS,Australia,GHG,Greenhouse gases,TOTAL,2008,549128.82
AUS,Australia,GHG,Greenhouse gases,TOTAL,2009,552127.35
AUS,Australia,GHG,Greenhouse gases,TOTAL,2010,547172.76
AUS,Australia,GHG,Greenhouse gases,TOTAL,2011,549007.35
AUS,Australia,GHG,Greenhouse gases,TOTAL,2012,552305.55
AUS,Australia,GHG,Greenhouse gases,TOTAL,2013,543798.68
AUS,Australia,GHG,Greenhouse gases,TOTAL,2014,535451.44
AUS,Australia,GHG,Greenhouse gases,TOTAL,2015,544231.81
AUS,Australia,GHG,Greenhouse gases,TOTAL,2016,552354.83
AUS,Australia,GHG,Greenhouse gases,TOTAL,2017,559581.11
AUS,Australia,GHG,Greenhouse gases,TOTAL,2018,560827.41
AUS,Australia,GHG,Greenhouse gases,TOTAL,2019,555244.93
AUS,Australia,GHG,Greenhouse gases,TOTAL,2020,536739.72
AUS,Australia,GHG,Greenhouse gases,TOTAL,2021,528631.65
AUS,Australia,CO2,Carbon dioxide,TOTAL,1990,278160.27
AUS,Australia,CO2,Carbon dioxide,TOTAL,1991,279534.03
AUS,Australia,CO2,Carbon dioxide,TOTAL,1992,284528.77
AUS,Australia,CO2,Carbon dioxide,TOTAL,1993,288873.51
AUS,Australia,CO2,Carbon dioxide,TOTAL,1994,293700.92
AUS,Australia,CO2,Carbon dioxide,TOTAL,1995,305055.59
AUS,Australia,CO2,Carbon dioxide,TOTAL,1996,311940.49
AUS,Australia,CO2,Carbon dioxide,TOTAL,1997,320332.76
AUS,Australia,CO2,Carbon dioxide,TOTAL,1998,334135.55
AUS,Australia,CO2,Carbon dioxide,TOTAL,1999,343959.21
AUS,Australia,CO2,Carbon dioxide,TOTAL,2000,350007.7
AUS,Australia,CO2,Carbon dioxide,TOTAL,2001,357783.39
AUS,Australia,CO2,Carbon dioxide,TOTAL,2002,362536.53
AUS,Australia,CO2,Carbon dioxide,TOTAL,2003,369441.74
AUS,Australia,CO2,Carbon dioxide,TOTAL,2004,382873.45
AUS,Australia,CO2,Carbon dioxide,TOTAL,2005,386205.38
AUS,Australia,CO2,Carbon dioxide,TOTAL,2006,392436.33
AUS,Australia,CO2,Carbon dioxide,TOTAL,2007,399676.26
AUS,Australia,CO2,Carbon dioxide,TOTAL,2008,404255.7
AUS,Australia,CO2,Carbon dioxide,TOTAL,2009,407477.16
AUS,Australia,CO2,Carbon dioxide,TOTAL,2010,405512.17
AUS,Australia,CO2,Carbon dioxide,TOTAL,2011,404256.79
AUS,Australia,CO2,Carbon dioxide,TOTAL,2012,406579.73
AUS,Australia,CO2,Carbon dioxide,TOTAL,2013,399288.01
AUS,Australia,CO2,Carbon dioxide,TOTAL,2014,393049.37
AUS,Australia,CO2,Carbon dioxide,TOTAL,2015,401378.36
AUS,Australia,CO2,Carbon dioxide,TOTAL,2016,410253.59
AUS,Australia,CO2,Carbon dioxide,TOTAL,2017,413655.46
AUS,Australia,CO2,Carbon dioxide,TOTAL,2018,415350.72
AUS,Australia,CO2,Carbon dioxide,TOTAL,2019,415811.27
AUS,Australia,CO2,Carbon dioxide,TOTAL,2020,399405.5
AUS,Australia,CO2,Carbon dioxide,TOTAL,2021,388777.53
AUS,Australia,CH4,Methane,TOTAL,1990,140149.43
AUS,Australia,CH4,Methane,TOTAL,1991,139103.31
AUS,Australia,CH4,Methane,TOTAL,1992,138028.61
AUS,Australia,CH4,Methane,TOTAL,1993,134529.86
AUS,Australia,CH4,Methane,TOTAL,1994,131341.09
AUS,Australia,CH4,Methane,TOTAL,1995,129738.15
AUS,Australia,CH4,Methane,TOTAL,1996,128974.72
AUS,Australia,CH4,Methane,TOTAL,1997,132163.21
AUS,Australia,CH4,Methane,TOTAL,1998,131972.99
AUS,Australia,CH4,Methane,TOTAL,1999,127862.47
AUS,Australia,CH4,Methane,TOTAL,2000,132216.59
AUS,Australia,CH4,Methane,TOTAL,2001,131162.52
AUS,Australia,CH4,Methane,TOTAL,2002,129343.35
AUS,Australia,CH4,Methane,TOTAL,2003,121551.4
AUS,Australia,CH4,Methane,TOTAL,2004,123216.54
AUS,Australia,CH4,Methane,TOTAL,2005,125777.26
AUS,Australia,CH4,Methane,TOTAL,2006,124654.13
AUS,Australia,CH4,Methane,TOTAL,2007,125065.3
AUS,Australia,CH4,Methane,TOTAL,2008,122148.67
AUS,Australia,CH4,Methane,TOTAL,2009,120768.26
AUS,Australia,CH4,Methane,TOTAL,2010,117387.55
AUS,Australia,CH4,Methane,TOTAL,2011,119118.78
AUS,Australia,CH4,Methane,TOTAL,2012,119488.41
AUS,Australia,CH4,Methane,TOTAL,2013,119059.3
AUS,Australia,CH4,Methane,TOTAL,2014,115962.82
AUS,Australia,CH4,Methane,TOTAL,2015,116479.08
AUS,Australia,CH4,Methane,TOTAL,2016,115338.57
AUS,Australia,CH4,Methane,TOTAL,2017,117465.13
AUS,Australia,CH4,Methane,TOTAL,2018,118013.43
AUS,Australia,CH4,Methane,TOTAL,2019,111602.97
AUS,Australia,CH4,Methane,TOTAL,2020,109758.73
AUS,Australia,CH4,Methane,TOTAL,2021,109934.74
AUS,Australia,N2O,Nitrous oxide,TOTAL,1990,14182.54
AUS,Australia,N2O,Nitrous oxide,TOTAL,1991,13824.71
AUS,Australia,N2O,Nitrous oxide,TOTAL,1992,13671.6
AUS,Australia,N2O,Nitrous oxide,TOTAL,1993,14078.64
AUS,Australia,N2O,Nitrous oxide,TOTAL,1994,14455.67
AUS,Australia,N2O,Nitrous oxide,TOTAL,1995,13717.7
AUS,Australia,N2O,Nitrous oxide,TOTAL,1996,14837.94
AUS,Australia,N2O,Nitrous oxide,TOTAL,1997,15533.34
AUS,Australia,N2O,Nitrous oxide,TOTAL,1998,15580.52
AUS,Australia,N2O,Nitrous oxide,TOTAL,1999,16002.33
AUS,Australia,N2O,Nitrous oxide,TOTAL,2000,16837.69
AUS,Australia,N2O,Nitrous oxide,TOTAL,2001,17116.33
AUS,Australia,N2O,Nitrous oxide,TOTAL,2002,17565.42
AUS,Australia,N2O,Nitrous oxide,TOTAL,2003,16538.91
AUS,Australia,N2O,Nitrous oxide,TOTAL,2004,18032.93
AUS,Australia,N2O,Nitrous oxide,TOTAL,2005,18093.91
AUS,Australia,N2O,Nitrous oxide,TOTAL,2006,18008.88
AUS,Australia,N2O,Nitrous oxide,TOTAL,2007,16587.02
AUS,Australia,N2O,Nitrous oxide,TOTAL,2008,16870.0
AUS,Australia,N2O,Nitrous oxide,TOTAL,2009,17266.46
AUS,Australia,N2O,Nitrous oxide,TOTAL,2010,17149.19
